ime_avtomobila,znamka,leto_prve_registracije,prevozeni_kilometri,vrsta_motorja,vrsta_menjalnika,velikost_motorja,moc_motorja,cena
Audi A4 quattro 3.0 V6 TDI-HITRI KREDIT BREZ POLOGA,Audi,2005,346500,diesel motor,ročni menjalnik,"['2', '9', '6', '7']",150,2950

Audi A5 Coupe  2.7 TDI DPF Multitronic,Audi,2008,301000,diesel motor,avtomatski menjalnik,"['2', '6', '9', '8']",140,8800

Audi A5 Coupe V6 TDI Avt. S-line SLO LEASING za TUJCE,Audi,2011,248000,diesel motor,avtomatski menjalnik,"['2', '6', '9', '8']",140,11690

Audi A5 Sportback 2.0 TDI Sport Multitronic,Audi,2011,214000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",105,10900

Audi A5 Sportback 2.0 TDI Xenon-led NAVI,Audi,2014,148837,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",110,18990

Audi A5 Sportback quattro 3.0 TDI Sport Tiptronic.3xS-LINE,Audi,2017,114000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",200,29990

Audi A6 1.8,Audi,1996,269000,bencinski motor,ročni menjalnik,"['1', '7', '8', '1']",92,450

Audi A6 2.0 TDI,Audi,2012,95467,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",130,13900

Audi A6 2.0 TDI KAMERA-KOMF.DOSTOP-EL.PRTLJANIK-KLJUKA,Audi,2015,94300,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,19390

Audi A6 2.0 TDI ultra S tronic-3xS-line+Black line-F1,Audi,2017,93150,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",110,25800

Audi A6 2.0 TDI-NAVI-LEASING ZA TUJCE-XENON+LED-ODLIÈEN-,Audi,2013,213000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",130,11850

Audi A6 3.0 TDI Q Competition-PANORAMA-ZRAÈNO-BOSE-F1,Audi,2016,137993,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",240,29950

Audi A6 3.0 TFSI Q-MATRIX-PANO-ZRAÈNO-HLAJENJE-360 KAMERE,Audi,2011,258000,bencinski motor,avtomatski menjalnik,"['2', '9', '9', '5']",220,18850

Audi A6 40 TDI Sport S tronic  3xS LINE + WEBASTO + MATRIX,Audi,2019,37322,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",150,44900

Audi A6 Allroad Allroad quattro 2.5 TDI Tiptronic,Audi,2002,256000,diesel motor,avtomatski menjalnik,"['2', '4', '9', '6']",132,2700

Audi A6 Avant 1.9 TDI Multitronic,Audi,2003,355000,diesel motor,avtomatski menjalnik,"['1', '8', '9', '6']",96,2350

Audi A6 Avant 2.0 TDI,Audi,2014,265234,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",100,12700

Audi A6 Avant 2.0 TDI -S LINE PLUS-NIGHT VISION-HEAD UP,Audi,2012,272000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",130,13650

Audi A6 Avant 2.0 TDI Business,Audi,2013,230000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",130,12800

Audi A6 Avant 2.0 TDI DPF,Audi,2006,280000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",103,4500

Audi A6 Avant 2.0 TDI quattro S tronic,Audi,2017,181000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,21600

Audi A6 Avant 2.0 TDI ultra Business,Audi,2016,175000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",140,16500

Audi A6 Avant 2.0 TDI ultra S tronic Xenon-led 3D NAVI,Audi,2015,189874,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,9700

Audi A6 Avant 2.0 TDI ultra S tronic+MATRIX+NAVI+KAMERA,Audi,2018,144851,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",100,19860

Audi A6 Avant 2.0 TDI ultra S tronic-S-line-RADAR-BIXENON-,Audi,2015,248554,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,19999

Audi A6 Avant 2.0 TDI ultra quattro Business S tronic,Audi,2016,135000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,23990

Audi A6 Avant 2.0 TDI ultra quattro S tronic,Audi,2016,181000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,19000

Audi A6 Avant 3.0 TDI clean diesel quattro Business S tronic,Audi,2015,227479,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",160,19000

Audi A6 Avant 40 TDI Sport S tronic MEMORY ASISTENCE ,Audi,2019,26800,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",150,39990

Audi A6 Avant 40 TDI quattro S tronic S-line MATRIX VIRTUA,Audi,2019,24964,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",150,33500

Audi A6 Avant quattro 2.7 V6 TDI Tiptronic,Audi,2005,313000,diesel motor,avtomatski menjalnik,"['2', '6', '9', '8']",120,4200

Audi A6 Avant quattro 3.0 V6 TDI FINANCIRANJE,Audi,2006,270000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",165,4990

Audi A6 quattro 3.2 V6 FSI Tiptronic F1,Audi,2005,376000,bencinski motor,avtomatski menjalnik,"['3', '1', '2', '3']",188,3390

Audi A7 3.0 TDI-Q-COMPETITION-HEAD UP-SOFT CLOSE-RS SEDEI,Audi,2016,94000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",240,41900

Audi A8 quattro 3.0 TDI -NAVI-RADAR-LED-MASAZA-20.COL-,Audi,2012,209000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",184,19950

Audi A8 quattro 3.0 V6 TDI Tiptronic,Audi,2007,360000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",171,10000

Audi Q5 2.0 TDI Q Avt. -SLO-1.LASTNIK-SERV.KNJIGA-R.KAMERA,Audi,2017,97983,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,34888

Audi Q5 Quattro 40 TDI Sport S tronic°VIRTUAL°PANORAMA°,Audi,2018,127065,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,39590

Audi Q5 quattro 2.0 TDI DPF VELIKI SERVIS OPRAVLJEN 4x4,Audi,2010,216000,diesel motor,ročni menjalnik,"['1', '9', '6', '8']",125,12980

Audi Q5 quattro 40 TDI Sport S tronic Sline zraèno vzm.,Audi,2020,12000,diesel motor,avtomatski menjalnik,"['1', '9', '6', '8']",140,21990

Audi Q7 3x S line - Matrix - Radar - 21 - Pano,Audi,2016,141000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",200,43800

Audi Q7 quattro 3.0 TDI ALU 22+HLAJENJE S.+RADAR+KOT NOV,Audi,2016,80000,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",200,43850

Audi Q7 quattro 3.0 TDI Tiptronic S-Line,Audi,2016,61030,diesel motor,avtomatski menjalnik,"['2', '9', '6', '7']",200,5499

Audi S5 Coupe  quattro 4.2 PERLA BARVA PANORAMA  ..,Audi,2008,206980,bencinski motor,ročni menjalnik,"['4', '1', '6', '3']",260,15900

BMW M4 PERFORMANCE 520 KM,BMW,2014,80000,bencinski motor,ročni menjalnik,"['2', '9', '7', '9']",382,39999

BMW M5 700KM-X DRIVE-PERFORMANCE-KOT NOV-MAX OPREMA-,BMW,2019,43000,bencinski motor,avtomatski menjalnik,"['4', '3', '9', '5']",515,94500

BMW M5 xDrive Avt.-KARBON-DVD-LED-20COL-KAMERA-1.LASTNIK-,BMW,2018,65000,bencinski motor,avtomatski menjalnik,"['4', '3', '9', '5']",441,89990

BMW serija 1: 116d,BMW,2013,225000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,7490

BMW serija 1: 116d,BMW,2011,139172,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,6500

BMW serija 1: 116d Sport Line LED-NAVI-2XPDC,BMW,2015,189000,diesel motor,ročni menjalnik,"['1', '4', '9', '6']",85,12500

BMW serija 1: 116i,BMW,2005,226000,bencinski motor,ročni menjalnik,"['1', '5', '9', '6']",85,3200

BMW serija 1: 118D XENON-ALU17-SPORT PAKET-TONIRANA STEKLA,BMW,2005,277943,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",90,2990

BMW serija 1: 118D-NAVI-TEMPOMAT-DVOJNA KLIMA-17COL-NOVE GUME,BMW,2007,217000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,4550

BMW serija 1: 118d,BMW,2008,230000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,4900

BMW serija 1: 118d,BMW,2015,155200,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,9990

BMW serija 1: 118d AVTOMATIK SPORT,BMW,2013,213000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",105,9900

BMW serija 1: 118d M optic,BMW,2008,278500,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,5750

BMW serija 1: 118d sport,BMW,2006,249000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",90,3600

BMW serija 1: 118d-SERVISNA-KNJ-SLOVENSKI-POLOG 1.000,BMW,2006,300000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",90,3900

BMW serija 1: 120d,BMW,2013,108000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,12200

BMW serija 1: 120d XSENON BI XSENON AVT.KLIMA ,BMW,2009,215720,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",130,4500

BMW serija 1: 120d-SPORT-PDC-TEMPOMAT-XENON-,BMW,2010,220000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",130,6990

BMW serija 1: 123d M SPORTPAKET +LETNA VINJETA,BMW,2007,277000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",150,7850

BMW serija 2: 216d Active Tourer- LED-NAVI-PDC,BMW,2016,159633,diesel motor,ročni menjalnik,"['1', '4', '9', '6']",85,10888

BMW serija 2: 216d Gran Tourer - LED-PDC-ALU-TOP,BMW,2016,166350,diesel motor,ročni menjalnik,"['1', '4', '9', '6']",85,11290

BMW serija 2: 216d Gran Tourer -LED-NAVI-PDC-7 SEDEEV,BMW,2017,173105,diesel motor,ročni menjalnik,"['1', '4', '9', '6']",85,11950

BMW serija 2: 218d Active Tourer M Sport,BMW,2015,139800,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",110,16900

BMW serija 2: 218d Active Tourer Sport Line,BMW,2015,145000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",100,12900

BMW serija 2: 218d Gran Tourer Sport Line,BMW,2015,135000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",100,14490

BMW serija 2: 220i Coupe BI-XENON VELIKA NAVI USNJE MEMORY,BMW,2014,165000,bencinski motor,ročni menjalnik,"['1', '9', '9', '7']",135,18590

BMW serija 3: 316D-NAVIGACIJA-TEMPOMAT-LIZING-ZA-TUJCE-PDC,BMW,2014,222000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,8950

BMW serija 3: 316d Touring,BMW,2013,222500,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,8790

BMW serija 3: 316d Touring,BMW,2014,264000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,9500

BMW serija 3: 316d Touring-LED-NAVI-PDC,BMW,2013,177000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",85,8950

BMW serija 3: 318 d Grand Tourism F34,BMW,2014,227000,diesel motor,ročni menjalnik,"['1', '9', '9', '0']",100,11200

BMW serija 3: 318d,BMW,2002,400000,diesel motor,ročni menjalnik,"['1', '9', '5', '1']",85,1400

BMW serija 3: 318d,BMW,2008,290000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,4500

BMW serija 3: 318d TOURING-BI XENON-USNJE-NAVI-ALU-PDC,BMW,2011,277582,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",100,5490

BMW serija 3: 318d Touring,BMW,2009,290000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",100,5300

BMW serija 3: 318d Touring,BMW,2014,116700,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,13850

BMW serija 3: 318d Touring,BMW,2015,240000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",105,12590

BMW serija 3: 318d Touring LED Navi Tempomat Gretje  Panorama,BMW,2017,168018,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",110,14990

BMW serija 3: 318d Touring Sport -Line-LED-NAVI-PDC,BMW,2017,167536,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",110,13450

BMW serija 3: 318d Touring Sport Line,BMW,2015,180000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",110,13690

BMW serija 3: 318d Touring nov motor,BMW,2012,212200,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,9900

BMW serija 3: 318d-XENON-NAVI-SPORT PAKET-PDC-LEASING ZA TUJCE,BMW,2014,212000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",105,9850

BMW serija 3: 318i,BMW,2001,157000,bencinski motor,ročni menjalnik,"['1', '8', '9', '5']",87,2290

BMW serija 3: 318i,BMW,1998,271975,bencinski motor,ročni menjalnik,"['1', '8', '9', '5']",87,900

BMW serija 3: 320d,BMW,2001,349500,diesel motor,ročni menjalnik,"['1', '9', '5', '1']",100,2500

BMW serija 3: 320d EfficientDynamics Edition,BMW,2010,273000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",120,6790

BMW serija 3: 320d EfficientDynamics Edition Touring Sport Line,BMW,2017,165000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",120,15590

BMW serija 3: 320d EfficientDynamics Edition Touring+LED+PANO,BMW,2016,132320,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",120,43850

BMW serija 3: 320d M-optic MODIFICIRAN,BMW,2006,240000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",120,6990

BMW serija 3: 320d M-sport,BMW,2011,240000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,9900

BMW serija 3: 320d Sport FULL LED+RADAR+Hud+HARMON+NAVI PROF.+++,BMW,2016,186820,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,15250

BMW serija 3: 320d Touring,BMW,2006,352500,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",110,3650

BMW serija 3: 320d Touring Sport Line 190ps.avt ,BMW,2016,158000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,14700

BMW serija 3: 320d Touring XENON NAVI KLJUKA LEASING za TUJCE,BMW,2011,249000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,6490

BMW serija 3: 320d Touring sport,BMW,2014,171000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,11000

BMW serija 3: 320d Touring-NAVI-PDC-ALU-LED-KROM-ODLIÈEN,BMW,2013,164520,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,11190

BMW serija 3: 320d xD aut-sport-navi-led-alu-menjana veriga,BMW,2014,233200,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,12540

BMW serija 3: 320d xDrive Touring,BMW,2015,205000,diesel motor,ročni menjalnik,"['1', '9', '9', '5']",135,11500

BMW serija 3: 320d xDrive Touring,BMW,2014,199000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,12750

BMW serija 3: 320d xDrive Touring,BMW,2013,169000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,14600

BMW serija 3: 320d xDrive-XENON-NAVI-KAMERA-USNJE-LEASING TUJCI,BMW,2013,238000,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",135,10990

BMW serija 3: 330d,BMW,2002,159000,diesel motor,avtomatski menjalnik,"['2', '9', '2', '6']",135,2200

BMW serija 3: 335i xDrive M-SPORT,BMW,2014,155120,bencinski motor,avtomatski menjalnik,"['2', '9', '7', '9']",225,23300

BMW serija 4: 420d xDrive Gran Coupe SPORT LINE-VL.KLJUKA-PDC,BMW,2016,163500,diesel motor,avtomatski menjalnik,"['1', '9', '9', '5']",140,19490

